old_my_translation,new_deepseek
"近 6 个月 3 个典型案例","近6个月3个典型案例"
"🚀 开启您的首笔 STS 订单","🚀 开启您的首笔STS订单"
"发送询价 → 选择供应商 → 开启 STS——您的资金从第一秒起即安全无忧。","发送询价 → 选择供应商 → 开启STS——您的资金从第一秒起即安全无忧。"
"5 星","5星"
"4.5 星以上","4.5星以上"
"4 星以上","4星以上"
"15 年以上","15年以上"
"10–15 年","10–15年"
"5–10 年","5–10年"
"5 年以下","5年以下"
"4,500 余家工厂已通过华越认证，可按行业、生产区域、规模及成立年份筛选。此处每家供应商均至少有 1 笔与越南采购商的成功订单，并可使用中文沟通。","4,500余家工厂已通过华越认证，可按行业、生产区域、规模及成立年份筛选。此处每家供应商均至少有1笔与越南采购商的成功订单，并可使用中文沟通。"
"Dongpeng Ceramics 已为 RFQ-8421 发送报价","东鹏陶瓷已为 RFQ-8421 发送报价"
"采购商中心 — Huayuesc","采购商中心 — 华越供应链"
"发送询价 — Huayuesc","发送询价 — 华越供应链"
"实地验厂 — Huayuesc","实地验厂 — 华越供应链"
"OEM / ODM 定制","OEM/ODM 定制"
"采购商的 30% T/T 定金和 70% 尾款保管在 CSR 位于 Vietcombank/BIDV（越南盾）或中国银行/HSBC（美元）的担保账户中——不直接打给供应商。供应商仅在以下情况后才收款：(a) 采购商确认货品符合描述，或 (b) 交货后 14 天采购商未回应（自动放款）。若货品不符合承诺，采购商在 7 天内投诉 → CSR 调查 → 退款/换货/赔偿。","采购商的30% T/T定金和70%尾款保管在CSR位于Vietcombank/BIDV（越南盾）或中国银行/HSBC（美元）的担保账户中——不直接打给供应商。供应商仅在以下情况后才收款：(a) 采购商确认货品符合描述，或(b) 交货后14天采购商未回应（自动放款）。若货品不符合承诺，采购商在7天内投诉→CSR调查→退款/换货/赔偿。"
"DDP 运至越南需要多久？","DDP运至越南需要多久？"
"DDP 送达河内采购商仓库的时间：(a) 经谅山陆路 5-7 天——最快，适合小单和热门趋势品。(b) 海运 佛山 → 叻坚 → 河内：合计 13-17 天。(c) 海运 东莞/深圳 → 吉莱 → 河内：15-19 天。(d) DHL/FedEx 空运：2-4 天，$8-15/kg。采购商可在计算器 /info/ddp-calculator 中选择最优路线。","DDP送达河内采购商仓库的时间：(a) 经谅山陆路5-7天——最快，适合小单和热门趋势品。(b) 海运佛山→叻坚→河内：合计13-17天。(c) 海运东莞/深圳→吉莱→河内：15-19天。(d) DHL/FedEx空运：2-4天，$8-15/kg。采购商可在计算器/info/ddp-calculator中选择最优路线。"
"大部分建筑材料、家具、卫浴、LED 灯、家用电器不需要许可证。以下需许可证：保健食品、化妆品、医疗器械、化学品、药品、书籍、车辆。CSR 按 HS 编码免费咨询——邮箱 legal@huayuesc.vn。","大部分建筑材料、家具、卫浴、LED灯、家用电器不需要许可证。以下需许可证：保健食品、化妆品、医疗器械、化学品、药品、书籍、车辆。CSR按HS编码免费咨询——邮箱legal@huayuesc.vn。"
"DDP 是否已含进口税 + 增值税？","DDP是否已含进口税+增值税？"
"是的。DDP 全包含：海运/陆运费、0.5% 海运保险、进口税（按 HS 编码，享 ACFTA/RCEP 优惠）、10% 增值税、清关费、越南国内运输。采购商只需在仓库签收。特殊情况（海关重新归类 HS、征收更高税）：CSR 提前通知，采购商有 7 天回应期。","是的。DDP全包含：海运/陆运费、0.5%海运保险、进口税（按HS编码，享ACFTA/RCEP优惠）、10%增值税、清关费、越南国内运输。采购商只需在仓库签收。特殊情况（海关重新归类HS、征收更高税）：CSR提前通知，采购商有7天回应期。"
"比首单快 50%！返单：在控制台选择“Reorder” → CSR 自动以相同规格生成新 PO → 采购商只需确认数量 + 交货日期。无需重新验厂（已认证）。无需重新测样（已有）。交货时间仍为 5-22 天，视路线而定。许多越南采购商每年向 2-3 家主力供应商下 6-12 单——流程非常顺畅。","比首单快50%！返单：在控制台选择“Reorder”→CSR自动以相同规格生成新PO→采购商只需确认数量+交货日期。无需重新验厂（已认证）。无需重新测样（已有）。交货时间仍为5-22天，视路线而定。许多越南采购商每年向2-3家主力供应商下6-12单——流程非常顺畅。"
"可以。CSR 通过财政部电子发票系统为所有 DDP 订单开具 10% 增值税电子发票（依据 123/2020/NĐ-CP 号法令）。发票在交货后 3 天内发送至采购商邮箱。企业采购商可用此发票抵扣 10% 进项增值税——节省可观税费。","可以。CSR通过财政部电子发票系统为所有DDP订单开具10%增值税电子发票（依据123/2020/NĐ-CP号法令）。发票在交货后3天内发送至采购商邮箱。企业采购商可用此发票抵扣10%进项增值税——节省可观税费。"
"网站 + App","网站+App"
"AI 寻源匹配","AI寻源匹配"
"DDP 物流","DDP物流"
"5 分钟内响应","5分钟内响应"
"每日 8:00-22:00","每日8:00-22:00"
"周一至周六 8:00-18:00","周一至周六8:00-18:00"
"6 小时内响应","6小时内响应"
"例如：如何发询价、起订量、DDP 运输、交易保障……","例如：如何发询价、起订量、DDP运输、交易保障……"
"300+ 篇指南、80+ FAQ，涵盖从中国到越南的 B2B 采购。询价、交易保障、DDP、海关。24/7 越南语支持。","300+篇指南、80+FAQ，涵盖从中国到越南的B2B采购。询价、交易保障、DDP、海关。24/7越南语支持。"
"300+ 篇指南、80+ FAQ、24/7 越南语支持。立即查找答案，或直接联系华越河内 + 广州团队。","300+篇指南、80+FAQ、24/7越南语支持。立即查找答案，或直接联系华越河内+广州团队。"
"详细状态页 →","详细状态页→"
"华越河内 + 广州客户成功团队——24/7 响应，为采购商提供 100% 越南语支持。","华越河内+广州客户成功团队——24/7响应，为采购商提供100%越南语支持。"
"📍 河内办事处：求纸郡范雄街 26 号 · 广州天河广场 26 楼","📍 河内办事处：求纸郡范雄街26号 · 广州天河广场26楼"
"18-25 天","18-25天"
"20-30 天","20-30天"
"20-25 天","20-25天"
"行业频道 — Huayuesc","行业频道 — 华越SC"
"在售 SKU","在售SKU"
"DDP 到越南","DDP到越南"
"依托遍布越南的广泛合作伙伴网络——将中国品牌与产品导入 63 省市的主流分销渠道。","依托遍布越南的广泛合作伙伴网络——将中国品牌与产品导入63省市的主流分销渠道。"
"墙纸 / 墙布","墙纸/墙布"
"强化 / 实木地板","强化/实木地板"
"按 SKU 和目的地","按SKU和目的地"
"COSCO、MSC、OOCL 驻仓","COSCO、MSC、OOCL驻仓"
"AI 算法自动处理订单、调度运输并优化物流路线。","AI算法自动处理订单、调度运输并优化物流路线。"
"仓储 — 3 类专用仓","仓储 — 3类专用仓"
"物流 — 3 级","物流 — 3级"
"采购 &middot; 验厂 &middot; 出厂前 QC","采购 · 验厂 · 出厂前 QC"
"中越双语支持 &middot; 8:00–22:00","中越双语支持 · 8:00–22:00"
"三级争议解决体系：直接对话、依据 NĐ 22/2017 号的华越调解、依据 1958 年纽约公约的 VIAC 河内仲裁。证据充分时多数案件以有利于采购商的结果收场，平均 3.2 天解决。24/7 热线：+86 181-2225-6999。","三级争议解决体系：直接对话、依据 NĐ 22/2017 号的华越调解、依据 1958 年纽约公约的 VIAC 河内仲裁。证据充分时，多数案件以有利于采购商的结果收场，平均 3.2 天解决。24/7 热线：+86 181-2225-6999。"
"登录采购商控制台，选择需投诉的订单，点击“发起投诉”。系统自动冻结担保账户并启动 7 步流程。情形严重时也可拨打 24/7 紧急热线。","登录采购商控制台，选择需投诉的订单，点击“发起投诉”。系统自动冻结担保账户并启动7步流程。情形严重时也可拨打24/7紧急热线。"
"第 1 层级（对话）和第 2 层级（华越调解）完全免费。第 3 层级（VIAC 河内仲裁）费用 $2,000-8,000——按裁决由败诉方承担。CSR 将争议处理系统作为交易保障的核心组成部分进行投入，不额外收费。","第1层级（对话）和第2层级（华越调解）完全免费。第3层级（VIAC河内仲裁）费用$2,000-8,000——按裁决由败诉方承担。CSR将争议处理系统作为交易保障的核心组成部分进行投入，不额外收费。"
"发送询价——24 小时内获得 5-10 家已认证供应商的免费报价。","发送询价——24小时内获得5-10家已认证供应商的免费报价。"
"采购行业资讯——Huayuesc 博客","采购行业资讯——Huayuesc博客"
"分析价格趋势、展会、税收政策、越南采购商案例及中国供应商概况。由 Huayuesc 团队每周更新。","分析价格趋势、展会、税收政策、越南采购商案例及中国供应商概况。由Huayuesc团队每周更新。"
"分析价格趋势、展会、税收政策、越南采购商案例及供应商概况。由广州 + 河内团队每周更新。","分析价格趋势、展会、税收政策、越南采购商案例及供应商概况。由广州+河内团队每周更新。"
"12,000+ 越南采购商已订阅。每周四资讯，涵盖价格趋势、限时优惠、展会。","12,000+越南采购商已订阅。每周四资讯，涵盖价格趋势、限时优惠、展会。"
"送货入仓 DDP 价","送货入仓DDP价"
"按项目报价，按施工进度交货，≥30 套订单免费提供样品。","按项目报价，按施工进度交货，≥30套订单免费提供样品。"
"≥30 套订单免费样品","≥30套订单免费样品"
"经华越质保 + 退换货","经华越质保+退换货"
"越南语目录 + 为下单 ≥30 套的 VIP 客户免费提供 3D 效果图。","越南语目录+为下单≥30套的VIP客户免费提供3D效果图。"
"为 VIP 客户免费提供 3D 效果图","为VIP客户免费提供3D效果图"
"每年在河内和胡志明市举办，邀请中国品牌发布新品，直接对接房地产 / 承包商 / 设计公司。","每年在河内和胡志明市举办，邀请中国品牌发布新品，直接对接房地产/承包商/设计公司。"
"华越广州 QC 团队出厂前按 AQL 2.5 验货。","华越广州QC团队出厂前按AQL 2.5验货。"
"全程 DDP 运抵越南","全程DDP运抵越南"
"含物流 + 清关 + 税费 + 送货入仓。无需操心订舱、海关。","含物流+清关+税费+送货入仓。无需操心订舱、海关。"
"免费样品与 3D","免费样品与3D"
"面向 ≥30 套订单——先投入以敲定正确款式。","面向≥30套订单——先投入以敲定正确款式。"
"每月工厂价格报告、CNY/VND 汇率、新税收政策。","每月工厂价格报告、CNY/VND汇率、新税收政策。"
"发邮件至 partnership@huayuesc.vn 并附：营业执照、现有展厅/仓库信息、正在分销的行业（建材 / 家具 / 家电）、覆盖区域。华越河内团队将在 5 个工作日内电话联系，必要时上门拜访。核实后签订经销合同——无会员费，仅按销售额分成佣金。","发邮件至partnership@huayuesc.vn并附：营业执照、现有展厅/仓库信息、正在分销的行业（建材/家具/家电）、覆盖区域。华越河内团队将在5个工作日内电话联系，必要时上门拜访。核实后签订经销合同——无会员费，仅按销售额分成佣金。"
"华越为建材与室内装饰（瓷砖、卫浴、铺贴石材、油漆、地板）提供送货到工地的 DDP 报价。支持：≥30 套订单免费提供样品、按施工进度交货、按原厂质保 + 如有瑕疵华越负责退换货。请联系 sales@huayuesc.vn 或 +86 181-2225-6999。","华越为建材与室内装饰（瓷砖、卫浴、铺贴石材、油漆、地板）提供送货到工地的DDP报价。支持：≥30套订单免费提供样品、按施工进度交货、按原厂质保+如有瑕疵华越负责退换货。请联系sales@huayuesc.vn或+86 181-2225-6999。"
"我是室内设计公司——能为我的 VIP 客户提供优惠吗？","我是室内设计公司——能为我的VIP客户提供优惠吗？"
"可以。华越为设计公司提供合作套餐：中国品牌的越南语目录、木材/石材/面料样品、为高端客户免费提供 3D 效果图（≥30 套订单）、整包项目的优惠折扣。","可以。华越为设计公司提供合作套餐：中国品牌的越南语目录、木材/石材/面料样品、为高端客户免费提供3D效果图（≥30套订单）、整包项目的优惠折扣。"
"组团。华越组织越南采购团赴广交会（4 月和 10 月）、CIFF 广州（3 月和 9 月）、佛山陶瓷展（4 月和 10 月）。每团 10-25 名采购商，配专业翻译，由华越广州采购团队接待。行前预约与工厂的商务对接。请联系 partnership@huayuesc.vn。","组团。华越组织越南采购团赴广交会（4月和10月）、CIFF广州（3月和9月）、佛山陶瓷展（4月和10月）。每团10-25名采购商，配专业翻译，由华越广州采购团队接待。行前预约与工厂的商务对接。请联系partnership@huayuesc.vn。"
"自己赴华：要懂中文、熟悉市场、与工厂有关系、操心物流 + 清关。通过中间商：无法在源头把控品质、易被暗中加价、缺乏清晰法律保障。华越：越南注册法人主体（税号 0111453693），出厂前在工厂验货，DDP 送货入仓，7×24 越南语支持，有交易保障——货物若不符承诺即可退款。","自己赴华：要懂中文、熟悉市场、与工厂有关系、操心物流+清关。通过中间商：无法在源头把控品质、易被暗中加价、缺乏清晰法律保障。华越：越南注册法人主体（税号0111453693），出厂前在工厂验货，DDP送货入仓，7×24越南语支持，有交易保障——货物若不符承诺即可退款。"
"合作伙伴网络——Huayuesc 华越供应链","合作伙伴网络——Huayuesc华越供应链"
"华越连接广东、福建、山东的顶尖工厂与越南 4 类分销合作伙伴：建材经销商、建筑承包商、室内设计公司、家电经销商。覆盖 63 省市，2 个运营办公室海防 + 广州。","华越连接广东、福建、山东的顶尖工厂与越南4类分销合作伙伴：建材经销商、建筑承包商、室内设计公司、家电经销商。覆盖63省市，2个运营办公室海防+广州。"
"合作伙伴网络——越南分销 &amp; 中国工厂","合作伙伴网络——越南分销 & 中国工厂"
"遍布越南 63 省市的分销合作伙伴","遍布越南63省市的分销合作伙伴"
"华越采购团队（广州市海珠区数娱创兴港 3 层）在 3 大主力集群甄选并验厂合作工厂。","华越采购团队（广州市海珠区数娱创兴港3层）在3大主力集群甄选并验厂合作工厂。"
"出厂前 AQL 2.5 QC","出厂前AQL 2.5 QC"
"每 12 个月定期实地验厂","每12个月定期实地验厂"
